bin_id,var_x,var_y,cov_xy
143,209560212.37752208,184386526.20578587,-15262351.630251724
144,212799857.85021624,187764025.95218194,-25931139.107429292
145,211496946.4187972,200522519.4728878,-4641279.470711417
146,203757670.91615736,216812273.39268315,-21598921.699984975
147,192670540.05632597,211672891.53901407,-16111903.59897496
148,203391215.42359182,199667397.08980092,-16017247.905870639
149,211530642.65958992,200905364.5735191,-17866349.82127337
150,208057984.16748613,199108863.78673118,-23805031.796404984
151,209163652.6959108,176073179.79108742,-8214557.736283081
152,220096357.1133691,207056386.7017874,-14111633.395372381
153,211329488.75670105,195023507.9754912,-18409500.748938046
154,220386891.50651595,205370291.53730556,-3815568.37568299
155,239037507.5901492,178404178.71630377,-11092004.146801889
156,214666773.09344292,218183624.9105636,-22032875.37912865
157,233496255.4131746,208761386.07984293,-12405480.374172721
158,210221422.49885353,191045738.0002521,-21096822.29164899
159,217655701.9777876,200129862.99782747,-21516489.19913664
160,209776592.38339964,167005383.2665907,-35055289.41674053
161,212759395.93656588,197906936.89576268,-43506345.7108637
162,179910094.76552725,183013389.7701179,-29208354.079880457
163,202599870.24720475,194794804.71650624,-35871402.32230804
164,215005100.61409816,159733848.7987233,-34261424.155813
165,214897590.65852275,161059498.17504185,-17981513.758162823
166,203612373.8314887,135898826.8988762,-35965788.09701933
167,250804787.2705752,155275609.68260327,-21329789.385874927
168,172544148.3204402,143056654.91347224,-29597730.28945195
169,194904161.30872655,156233060.27102336,-14145327.718512028
170,217732640.207327,149067219.16379425,-14317248.372717863
171,217777358.60100704,166563180.2112948,-20899625.94891722
172,229161860.11905316,138069926.9714506,3842683.7132278737
173,239295142.8733114,139102875.66295454,933061.8013863227
174,200188168.83668453,158731465.60962716,-20976034.195701785
175,190143836.85039923,162688102.46526292,-14382220.437836666
176,195318792.78280723,120591036.46388021,-2277800.8629971794
177,194288860.75767615,166186672.0607169,-6173794.454473409
178,197337430.27916813,149323503.32659122,-23072966.915164683
179,187716274.35877502,165775653.48243004,-14910329.364677198
180,199796303.98591027,157803061.61640406,-14413743.741960488
181,224095239.24564564,138688930.46687597,-4048895.917382256
182,198347138.16662318,177480847.08782664,-22084322.370522372
183,185272203.04982996,162187514.76714346,-29291994.935491893
184,173093310.40914068,162121246.0609179,-18007543.144393194
185,160265687.951762,163148050.45037168,-40608979.00084016
186,183804705.36530674,146981661.25030956,-59587085.78730184
187,191892992.6425618,177566188.671741,-56116205.40646725
188,210979041.732901,142591968.8489076,-20680453.81920851
189,211371383.52954334,142944079.97250563,-10650551.403226776
190,223954771.9832786,194218733.87886548,-23674210.54790804
191,192651422.3836992,168119736.6259903,-22698023.14200815
192,211252290.16309774,169957446.51443765,-45508603.5278229
193,198348628.77091423,193133383.9428037,-16855100.20011847
194,214744546.98038226,194976329.39657044,-42938046.849299766
195,190617849.0781646,159587451.30262363,-20703370.796894316
196,219573430.37156984,183322154.21454912,-28175095.12933618
197,210184133.94220248,165504204.32542348,-35518330.937819034
198,202214094.50928757,159331983.83965895,-15156928.127405131
199,188907159.604225,161382808.24656728,5544748.166583657
200,219526021.3420985,144888848.47256264,2533806.8052049857
201,252600172.73623526,158070599.47237277,-14950969.920519805
202,185834957.5979316,175322994.65523183,-17309639.04017215
203,198869554.64915004,161760547.71868986,-35094093.63010102
204,200883401.7435565,168237280.79164907,-35393765.41331609
205,172296031.4170044,163912139.0790885,-48952983.25292892
206,193831384.79054177,109459422.91594279,-22564275.534522876
207,216274452.29552418,147050464.04298246,-47200731.80105418
208,195376063.34566388,148454029.56637776,-26734821.496520173
209,167505388.54991618,137065102.7439429,-22413960.76319569
210,207606159.39050886,146114443.0723191,-41753423.03214335
211,166159054.32884204,130178191.56845827,-27251120.669612274
212,171869618.94420087,149256032.59867173,-60734284.8532433
213,172877711.9906514,189245529.88212186,-51451426.9267591
214,180693568.29816312,129061538.81500232,-43566500.75242269
215,153037054.42575672,137681296.27143034,-31878408.985626124
216,183759765.55598202,144079984.22182304,-59751656.121594414
217,172821977.11571708,136197874.65507683,-16245413.365642305
218,206490315.1704168,153082413.971165,-21559479.34573067
219,195400154.30647388,90268726.06657937,-60911315.55224783
220,158550632.7220352,117910441.77950689,-35617297.156196445
221,198547143.15107006,126583691.359904,-70969243.27982403
222,170868765.9397703,136399518.25624862,-64073273.42211888
223,167951038.57535368,133658078.77465269,-45752033.508272454
224,184472141.61783445,96504797.76987875,-31237884.049766187
225,146802396.24711615,98365669.8196758,-59375636.16614566
226,155383593.09100738,120198007.84701777,-46217077.46723655
227,206453216.2146519,121514391.83984075,-62622640.437602445
228,186489108.32623366,122350700.42474177,-29423844.6152942
229,151801074.95145017,106368865.5848648,-36099955.34254071
230,166599023.37286225,143656231.35970232,-53013250.87540699
231,167503006.92736998,134056936.19256651,-78424561.55110772
232,172204091.53433108,140350793.6772995,-53468119.464682296
233,159953807.6234446,102271631.50763136,-44563512.7428861
234,167095074.6335914,163098227.5486164,-48631193.99940317
235,166629709.49507713,123875190.89241698,-30049185.624490988
236,180020826.115248,132056944.69539294,-34345235.10529626
237,141606651.01750904,117126500.0099286,-60669645.7722549
238,225301805.39881903,148687720.01928782,-41323186.70867753
239,141589073.42320606,112545190.56166849,-33944821.92055186
240,162426507.88094097,124394474.92176479,-73523049.45844139
241,155353717.6706141,117943918.52306649,-50157308.39467095
242,156538370.7494618,115075661.99287497,-81001193.45255364
243,141573967.9411585,109533625.21891445,-46369949.909147464
244,166219999.71123868,105585707.27294107,-53234964.44715802
245,153502698.7963707,113819962.33509824,-50745731.30931695
246,196308854.45489785,120373887.63136423,-46390592.25795267
247,139337571.51266345,91323746.02809462,-61894122.96640646
248,140831931.8015615,119509622.55377416,-60760474.33372209
249,170425852.78777215,142573390.40043727,-57895531.39701778
250,144904475.5779761,114676467.01476587,-67940503.4446057
251,165416128.62915874,116400698.77618356,-63412604.90469694
252,124317182.17404751,100407163.12586807,-58276641.05324531
253,143481799.5205637,96953884.58005409,-43115754.904100284
254,132492092.7016468,123178231.2051707,-63211524.62896783
255,165982072.59297758,124581057.7681066,-66337355.702656314
256,172414345.2724012,109724032.16535853,-55396151.64352451
257,145113500.11720875,97315214.73461312,-58770026.55504977
258,176703334.21929002,124657801.03978066,-46135409.28278752
259,154149872.02188253,100452356.8626915,-87884394.15045772
260,166303831.26267806,110688666.55975181,-64871390.20368174
