bin_id,route_progress_center,route_progress_bin_center,latitude,longitude,verticalSpeed_ms,x_wrt0,y_wrt0,altitude_meters,speed_kmh,delta_altitude,delta_speed,delta_heading,turn_rate,acceleration,distance_per_timestep
1573,0.78675,0.78675,11.1137335,123.835052,-6.2,306405.750785709,-377233.03472744813,4846.0,696.4,-15.0,-1.7999999999999543,1.0,0.5,-0.16818181818181843,426.2829995448541
1574,0.78725,0.78725,11.111995499999999,123.8353845,-6.5,306345.3928777203,-377010.14418912004,4831.0,694.5,-15.0,-1.7999999999999543,1.0,0.5,-0.2818181818181822,430.14796009987015
1575,0.78775,0.78775,11.110382,123.83548,-6.2,306317.0979293827,-377117.00266122434,4823.0,696.4,-15.0,-1.7999999999999543,1.0,0.5,-0.1156249999999996,419.90556983619774
1576,0.78825,0.78825,11.108803,123.834904,-6.2,306247.48192131706,-377334.16665292066,4816.0,694.5,-15.0,-1.7999999999999543,1.0,0.5,-0.598387096774186,420.0481826172544
1577,0.78875,0.78875,11.106339,123.835098,-5.9,306244.0004648347,-377663.971260893,4808.0,692.6,-15.0,-1.7999999999999543,1.0,0.5,-0.1266666666666651,423.3099385279379
1578,0.78925,0.78925,11.105170000000001,123.8344765,-6.050000000000001,305857.98037694424,-377530.87074985367,4823.0,692.6,-15.0,-1.7999999999999543,1.0,0.5,-0.6000000000000227,420.3106644088835
1579,0.78975,0.78975,11.104757,123.834274,-5.9,305768.014684749,-377757.9311036907,4816.0,692.6,-15.0,-1.7999999999999543,1.0,0.5,-0.1681818181818202,429.79349945494863
1580,0.79025,0.79025,11.102057,123.834007,-5.9,305727.41906823765,-377956.97029730846,4823.0,690.8,-15.0,-1.7999999999999543,1.0,0.5,-0.5187500000000007,426.1924361113474
1581,0.79075,0.79075,11.098618,123.833458,-6.2,305679.73532976105,-378408.42232305655,4808.0,692.6,-15.0,-1.7999999999999543,1.0,0.5,-0.3468750000000007,421.09045386015714
1582,0.79125,0.79125,11.097244,123.833504,-5.9,305651.98063187586,-378567.76487303135,4816.0,690.8,-15.0,-1.7999999999999543,1.0,0.3333333333333333,-0.5999999999999849,413.70547571510025
1583,0.79175,0.79175,11.095983,123.833534,-6.2,305662.7274227642,-378630.6178921336,4797.0,690.8,-15.0,-1.7999999999999543,1.0,0.0303030303030303,-0.2832167832167817,426.53334150868176
1584,0.79225,0.79225,11.092281,123.832798,-5.9,305691.47801520454,-379125.2414077823,4778.0,688.9,-15.0,-1.7999999999999543,0.0,0.0,-0.2983870967741934,426.3282621844018
1585,0.79275,0.79275,11.0916825,123.833023,-5.9,305639.60906176746,-379152.4286048993,4801.0,687.1,-15.0,-1.7999999999999543,0.0,0.0,-0.3804166666666688,416.9678460891352
1586,0.79325,0.79325,11.0891155,123.83296949999999,-6.2,305720.2003379717,-379413.5702508277,4781.5,688.9,-15.0,-1.7999999999999543,0.0,0.0,-0.14230769230769405,424.6900200936023
1587,0.79375,0.79375,11.085114,123.831917,-6.2,305704.5906425453,-379907.33200460474,4763.0,685.2,-15.0,-1.7999999999999543,0.0,0.0,-0.3468749999999971,421.78209463091775
1588,0.79425,0.79425,11.083649,123.832253,-6.2,305688.11979980906,-379973.3818822633,4770.0,685.2,-15.0,-1.7999999999999543,0.0,0.0,-0.3468750000000007,428.647434915614
1589,0.79475,0.79475,11.0815975,123.832615,-6.2,305738.7722053173,-380185.3197051886,4755.0,687.1,-15.0,-1.7999999999999543,0.0,0.0,-0.5830024813895773,422.32642288102943
1590,0.79525,0.79525,11.0803105,123.832302,-6.35,305740.0541665704,-380342.2159633982,4751.0,688.0,-15.0,-1.7999999999999543,0.0,0.0,-0.1449999999999988,419.6087448930503
1591,0.79575,0.79575,11.076485,123.8307035,-6.2,305623.47400987265,-380821.02197888365,4717.0,683.4,-15.0,-1.7999999999999543,0.0,0.0,-0.4165624999999993,430.0651680764305
1592,0.79625,0.79625,11.080806500000001,123.8316995,-6.2,305663.9561251742,-380616.86781157507,4747.0,683.4,-15.0,-1.7999999999999543,0.0,0.0,-0.49173998044965966,434.5770888919393
1593,0.79675,0.79675,11.0752515,123.833256,-5.9,305651.8904076202,-381197.47292301443,4743.5,681.5,-15.0,-1.7999999999999543,0.0,0.0,-0.217676767676766,442.03879143851105
1594,0.79725,0.79725,11.0790025,123.833233,-5.9,305648.07287097455,-380747.2440431489,4740.0,685.2,-15.0,-1.7999999999999543,0.0,0.0,-0.2642424242424249,429.1560366028435
1595,0.79775,0.79775,11.090905,123.834602,-5.9,305629.3402375016,-380064.4506529747,4759.0,683.4,-15.0,-1.8000000000000682,0.0,0.0,-0.48537634408602,416.5047655981045
1596,0.79825,0.79825,11.077995000000001,123.8325195,-5.5,305438.8871986404,-381113.1870521973,4728.0,683.4,-15.0,-1.8000000000000682,0.0,0.0,-0.4193548387096774,432.0523755244915
1597,0.79875,0.79875,11.084427,123.833771,-5.5,305510.60013222735,-380906.6421906635,4732.0,676.0,-15.0,-1.8000000000000682,0.0,0.0,-0.358064516129033,448.91121401340945
1598,0.79925,0.79925,11.0850665,123.83321000000001,-5.2,305422.86497770774,-380985.03472222807,4724.0,676.0,-15.0,-1.7999999999999543,0.0,0.0,-0.3083333333333307,444.48564958087155
1599,0.79975,0.79975,11.080177,123.83271450000001,-5.2,305451.583264313,-381412.1350254051,4728.0,676.0,-15.0,-1.7999999999999543,0.0,0.0,-0.23497983870967842,425.0476277080076
1600,0.80025,0.80025,11.080307000000001,123.8322525,-5.2,305435.5317417504,-381354.535973844,4709.0,676.9,-15.0,-1.8000000000000682,0.0,0.0,-0.4193548387096774,412.85413276880115
1601,0.80075,0.80075,11.0779155,123.831707,-5.2,305320.68687719165,-381584.9877776283,4709.0,670.4,-15.0,-1.7999999999999543,0.0,0.0,-0.26310483870967954,424.84229847935876
