bin_id,var_x,var_y,cov_xy
272,140308133.19996908,65984734.20687141,-69783024.85544106
273,132329961.22131267,93818609.98427291,-58598061.96560167
274,120358555.29412688,78638131.76556519,-59974664.81769693
275,121144173.22645767,56729370.9941538,-35635804.18228967
276,107049774.98000534,72855369.26839541,-46700264.40053285
277,151206982.7451819,71982679.73180328,-79958861.6668086
278,90922335.071723,57046398.99379298,-59999445.515128486
279,109450754.49801382,70118147.8977585,-62042078.602754764
280,126702196.69507605,86037025.15295847,-84414315.23534942
281,88095355.53785577,65480702.38483513,-59367846.826141246
282,71676255.57556765,51135629.76400048,-46369477.95796214
283,86961817.4849608,83156902.16931137,-47638658.216331944
284,133327850.81239401,87016357.52469867,-92440651.62671037
285,94803848.64893062,74505410.20692317,-39371266.5985323
286,107867713.269285,75832462.63429318,-81170860.76325983
287,87848766.07654385,89657576.02238901,-52453673.750119664
288,90413287.36063817,63416528.12398489,-50778085.42863253
289,68960620.2329101,55872049.25905735,-38030998.71850947
290,132557361.21311666,55202391.34118929,-50581341.97516961
291,126542323.80338557,74516480.75318906,-81271218.28083599
292,100148467.76277864,55172957.98484685,-54112738.49726603
293,123170145.61993358,79094829.94342104,-82502947.82664351
294,87750741.98974708,62192370.03471454,-51666505.63677035
295,81763249.54154232,64966898.77633409,-59409333.049619585
296,108907765.50973578,82767800.82757205,-61201081.26550187
297,89663777.38446729,81843409.96654767,-65796975.185472935
298,77541538.57268207,42558051.809029035,-36091263.78387491
299,86599935.31877291,82936943.34085305,-34349124.53145527
300,83095152.79163896,67357066.80991589,-48190294.78634736
301,108346069.32774922,79390633.60932727,-63383537.56142952
302,69150644.10888714,58677224.47381469,-40369345.12615892
303,127491319.11123143,73459614.07797839,-58240659.72459376
304,192704787.8506167,96533723.76034383,-93936023.70700763
305,118162797.6221992,51458130.692753136,-40661160.04584451
306,156702555.89363545,94805989.27321462,-85124927.77382284
307,142457228.37151882,73875476.0466438,-65299127.9923402
308,150697787.20755327,92174012.9956714,-76909189.6409181
309,144533510.66345626,84182492.4703619,-65755715.59569913
310,127411794.88235916,95963935.44206761,-57814387.29336079
311,145084088.89493912,80769390.63386485,-68436027.66113292
312,133748186.21698338,73972385.91985291,-29426479.2657369
313,128522935.544989,69220240.17994814,-62198225.64891166
314,120326019.68288836,68528918.73955221,-24911730.18818338
315,103371425.44771238,63373041.99971146,-34983965.123197734
316,129706639.6140101,78896163.4653542,-61866161.97257155
317,187074609.89023215,97770256.36656757,-85525039.45054604
318,147443789.0915764,73282851.34145011,-58255070.39837999
319,113303915.49904396,64544717.885437265,-42830656.87841242
320,138132315.32062906,71933751.5980929,-63786130.58478137
321,144200241.67367998,79771655.43362705,-51928326.43963811
322,90748185.67079487,91120312.6079079,-52589489.2145463
323,78148159.09263206,61605646.66268232,-47267688.61660662
324,109517819.23491812,90962657.16652751,-43540709.91198592
325,78072911.6904145,57246411.0743037,-38632254.22796869
326,78805954.66399315,72983414.70315355,-49501706.98539938
327,111175490.01363197,77702688.99282554,-35568851.876638286
328,87857293.8916719,58282343.828157045,-46820563.66275789
329,78506438.72373582,63736353.23867233,-45056017.71699353
330,89700930.72417021,91360162.75878267,-53190620.780165024
331,118248819.93610501,72212273.98772708,-64906431.83641366
332,115799419.475238,69306548.68940996,-55885677.086509615
333,114851123.17387833,73422583.2176352,-67349653.86817575
334,141202630.77905226,117270168.69394039,-76872649.55500248
335,127823111.81477812,71392278.99538633,-53133848.91833634
336,110759384.66129737,89326575.2339321,-75527404.06929849
337,100076960.81839998,76063356.76500006,-51430479.530740716
338,116995311.28402123,95548434.15614457,-56990782.82283871
339,124230160.12576716,96923508.64767563,-79319376.83341998
340,124056915.02447446,85007866.41428095,-63631065.97813772
341,98542964.08655953,70543723.97739886,-45385265.081620745
342,104293658.20335837,75827578.34373097,-58974127.77396741
343,117061920.03172345,80864175.31625764,-62250994.092556365
344,131535669.4128777,111707070.7788334,-86857049.20814314
345,122237981.59814517,77687533.06939447,-69839596.78361788
346,133410356.85360181,87053043.56541319,-41430282.72195759
